Topic,Prompt,Paragraph ID,Sentence1,Sentence2,Sentence3,Sentence4,Sentence5,Sentence6,Sentence7,Sentence8,Sentence9,Sentence10
igneous rock,How does igneous rock form?,36,Magma rises to the surface during a volcano.,The magma undergoes changes in temperature.,The magma undergoes changes in pressure.,The magma cools.,The magma solidifies.,The magma crystallizes.,Igneous rock is formed.,,,
fossil,How are fossils formed?,37,A plant of animal dies in a watery environment.,Is buried in mud and silt.,Soft tissues quickly decompose leaving behind hard bones or shells.,Over time sediment builds over the top and hardens into rock.,As the bone decays mineral seeps in replacing it.,Fossils are formed.,,,,
fossil,How are fossils formed?,38,The animal dies and the body falls down.,It is not eaten by anything.,The body falls in a sandy or wet place.,The soil forms around the body.,Time passes on and the rock forms.,Millions years later the fossil forms.,A person now finds the fossil.,,,
earthquake,What causes an earthquake to occur?,41,The earth develops cracks deep beneath the surface.,The cracks get very long and big in some places.,The earth places pressure against the rocks on both sides of the cracks.,The pressure causes the rocks to press against each other very hard.,The cracks continue to develop.,The earth moves against itself on both sides of the cracks.,The pressure and movement around the cracks causes the rocks to crumble in some places.,A lot of energy is released.,The energy causes seismic waves.,The seismic waves move the earth in an earthquake.
rain,How does rain form?,43,"Oceans, lakes, and rivers contain water.",The sun heats up the water.,The water evaporates from the heat.,The water moves to the sky as steam or as invisible vapor.,The water forms clouds in the sky.,The clouds become larger as they are filled with more water.,The air is cooled.,Water forms droplets in the clouds.,The droplets fall to earth as rain.,
rain,How does rain form?,45,Water evaporates from the ground up to the sky.,Water droplets are in clouds.,Droplets combine to form bigger drops in the clouds.,The drops get heavy.,Gravity makes the drops fall.,,,,,
volcanic eruption,What happens during a vocanic eruption?,48,Pressure pushes up from inside the volcano.,Lava comes out of the volcano.,Ash clouds and rocks also come out of some volcanos.,The things that come out of the volcano cause disturbances in the environment.,The eruption lasts for a long time for some eruptions.,The volcano loses the built up pressure.,The lava and other debris stop coming out of the volcano.,Mudslides and ash clouds cause problems after some eruptions.,,
mineral,How do minerals form?,50,Magma comes up to the surface of the earth.,The magma cools.,Particles inside the magma move closer together.,Crystals are formed.,The crystals contain minerals.,,,,,
mineral,How do minerals form?,51,Magma moves closer to the Earth's crust.,The magma starts to cool.,The cooling causes atoms in the magma to condense.,The condensed magma solidifies.,The solidified magma forms minerals.,,,,,
earthquake,How do earthquakes occur?,52,Fault lines appear underground.,The fault lines grow over time.,The rocks on each side of the fault lines rub against the rocks on the other side of the fault line.,The rocks put pressure on each other.,The rocks break from the pressure.,The breaking of the rocks releases a lot of energy.,The energy causes seismic waves.,The seismic waves make the earth shake.,,
snow,How does snow form?,56,The air is cold.,Water is in the air.,The water forms tiny ice crystals.,The ice crystals collide with each other.,The ice crystals stick to each other.,The ice crystals get bigger as more of them stick together.,The ice crystals get too heavy to be in the air.,The ice crystals become snowflakes.,The snow flakes fall to the ground as snow.,
snow,How does snow form?,57,Water evaporates from the ground up to the sky.,Water droplets are in clouds.,The air gets cold.,Water droplets turn into ice crystals.,Ice crystals in clouds stick together and become snowflakes.,,,,,
flood,How do floods happen?,58,There is a lot of rain or a dam breaks.,Water levels of a river or lake get higher.,Water builds up on the ground.,Water covers streets.,Water gets deep in some places.,Water goes into houses and other buildings.,The rain stops or the dam is repaired.,Water flows into streams.,The rest of the floodwater evaporates.,
sedimentary rock,How does sediment turn into sedimentary rock?,61,Minerals fill spaces between bits of sediment.,The sediments become glued together.,The glued together parts become hard like cement.,The sediment becomes a big rock.,The rocks erode slowly.,The rocks come apart.,The rocks become smaller rocks.,The rocks continue to erode into smaller rocks.,The process starts again.,
ravine,How are ravines formed?,64,An area is at a higher elevation than the surrounding area.,Rain falls.,Water is in the area of high elevation.,The water creates a stream.,The stream moves towards lower elevation.,The stream continues along the same path for a long time.,The soil and rocks erode where the stream touches them.,The stream moves deeper into the soil.,The stream is smaller than the eroded area.,
coal,How does coal form?,67,Plants die.,The dead plants end up in swamps.,The dead plants sink to the bottom of the swamps.,Many more dead plants sink in the same area.,The dead plants join together forming peat.,Sediment covers the peat.,The peat continues to decompose.,The peat keeps carbon while eliminating other elements.,The peat turns into coal after a long time.,
coal,How does coal form?,68,300 millions years ago plants and trees died.,"The plant and tree remains sank to the bottom of steamy, swampy areas.",Layer upon layer of remains accumulated.,"Eventually forming a soggy, dense material called peat.","The peat was buried over millions of years by sand, clay, and other mineral material.",Pressure caused by the wait of the materials squeezed water from the peat.,With the heat caused by increased burial peat slowly became coal.,,,
coal,How does coal form?,69,Plants and trees die.,Dead plants and trees pile up at the bottom of swamps.,Dead plants and trees form layers called peat.,Sand and clay cover the peat.,The sand and clay form sedimentary rocks.,Pressure caused by sedimentary rocks squeezes water out of the peat.,Heat changes the material into coal.,,,
flood,What happens during a flood?,70,There is a lot of rain.,Water levels of a river or lake get higher.,Water builds up on the ground.,Water covers streets.,Water goes into houses.,The rain or other source of water stops.,Water flows into streams.,The rest of the water evaporates.,,
sedimentary rock,How does sedimentary rock form?,76,Wind or water breaks small pieces off of a rock.,The wind or water deposits tiny rocks.,The rocks become known as sediment.,The layers of sediment are pressed together by other layers of sediment on top.,Minerals from the rocks in the sediment dissolve.,Minerals glue the sediment together into a single rock.,,,,
sedimentary rock,How does sedimentary rock form?,78,Wind and water erode rocks.,The wind and water pick up sediment that came off the rocks.,"Sediment is carried to an area by the wind, water, air, or ice.",Sediment is deposited on the same spot many times.,The sediment piles on top of other sediment for a long time.,The sediment near the bottom is compressed by the weight of newer sediment.,The sediment becomes sedimentary rock as it is pushed together by the heavy weight.,,,
mountain,How are mountains formed?,80,Tectonic plates beneath the earth rub against each other.,The rocks around the cracks crumble.,An earth quake happens.,The force of the earthquake is large.,Rocks are pushed up out of the earth by the force.,These rocks become volcanos.,The volcanos erupt many times.,The size of the rocky area grows.,The volcano becomes dormant.,The volcano and its eruptions become a mountain.
deserts,How are deserts formed?,99,Rain clouds travel across the sky.,Rain clouds are stopped or slowed by mountains or wind.,The rain clouds drop the rain.,The clouds are no longer raining when or if they reach the other side of the obstacle.,"On the other side of the mountains or rain, there isn't much rain.",The area that receives little rain develops a very different ecosystem.,The area that receives little rain becomes a desert.,,,
photosynthesis,What happens during photosynthesis?,112,Carbon dioxide enters the leaf through the stomates.,Water is absorbed by the plant and transported to the leaves.,Sunlight is captured by the plant.,Energy in the form of ATP is made from the sun's energy.,"Carbon dioxide, water, and ATP form sugars via the Calvin cycle.",Oxygen is given off as a byproduct.,Oxygen leaves the leaf through the stomates.,Water is reused or it leaves the leaf.,The sugars can be used by the plant to make cellulose.,
photosynthesis,What happens during photosynthesis?,113,Chloroplasts in the leaf of the plant traps light from the sun.,The roots absorb water and minerals from the soil.,This combination of water and minerals flows from the stem into the leaf.,Carbon dioxide enters the leaf.,"Light, water and minerals, and the carbon dioxide all mix together.",This mixture forms sugar (glucose) which is what the plant eats.,Oxygen goes out of the leaf through the stomata.,,,
mountain,How are mountains formed?,115,Tectonic plates smash together.,The edges of the plates crumple up.,The ridges are mountain ranges.,Magma is forced to the surface.,Magma forms a volcano.,,,,,
mountain,How are mountains formed?,116,Movements of tectonic plates causes the creation of volcanoes.,These volcanoes erupt.,Volcanic mountains are formed from the eruption.,Sometimes tectonic plates crash into one another or ride over one another.,"These plates sometimes fold and buckle, which forms Fold Mountains.","Sometimes fault blocks are raised or tilted, and they form Block Mountains.",,,,
evaporation,Describe the process of evaporation,127,"Water is exposed to heat energy, like sunlight.",The water temperature is raised above 212 degrees fahrenheit.,The heat breaks down the molecules in the water.,These molecules escape from the water.,The water becomes vapor.,The vapor evaporates into the atmosphere.,,,,
lungs,What do lungs do?,132,You breathe oxygen into your body through the nose or mouth.,The oxygen travels to the lungs through the windpipe.,The air sacs in the lungs send the oxygen into the blood stream.,The carbon dioxide in the blood stream is transferred to the air sacs.,The lungs expel through the nose or mouth back into the environment.,,,,,
echolocation,How do bats use echolocation?,135,Bats fly through an area.,The bat makes sounds with their mouth or nose.,The sound waves travel away from the bat.,The sound waves hit objects.,The sound waves bounce off the objects back towards the bat.,The bat hears the sound waves echoing off the objects.,The bat knows where the objects are because of where the sound echoed from.,The bat doesn't hurt itself by hitting the objects.,,
lungs,How do the lungs work?,139,Air enters the nose or mouth and travels through the windpipe into the lungs.,The lungs have a series of smaller and finer tubes and sacs.,Air reaches the smallest and finest air sacs called alveoli.,Oxygen travels from the alveoli into the blood.,Oxygen-rich blood is carried to the heart.,Oxygen-rich blood is pumped throughout the body by the heart.,Cells take in the oxygen rich blood and release carbon dioxide rich blood.,The carbon dioxide rich blood travels to the lungs.,Carbon dioxide travels through the throat and is exhaled.,
lungs,How do the lungs work?,140,A person breathes in oxygen.,The oxygen passes through the bronchial tubes to the lungs.,The oxygen is moved into the bloodstream.,Circulates through the body.,The cells in the body exchange the oxygen with carbon dioxide.,The bloodstream carries the carbon dioxide back to the lungs.,The lungs expel the carbon dioxide through the nose and mouth.,,,
lungs,How do the lungs work?,141,You inhale.,Your diaphragm moves down.,Your lungs have more room.,Your lungs fill with air.,You exhale.,Your diaphragm moves back up.,Carbon dioxide is exhaled.,You start the process over again.,,
precipitation,Describe the process of precipitation,152,Water vapor is in the atmosphere.,Water vapor is lifted up.,Lifted vapor cools below dew point.,Vapor turns into a solid.,Cloud droplets aggregate into larger sizes.,Cloud droplets drop from the sky.,,,,
recycling,Describe the process of recycling an aluminum can,157,You place aluminum cans and other products into recycling bins.,Your town or a private company collect and transport the aluminum to a recycling facility.,The aluminum is sorted and cleaned at the central recycling facility.,The aluminum is melted down to remove coatings and inks.,The melted aluminum is formed into large formations called ingots.,The ingots are transported to another facility and rolled out to make them easier to manipulate.,The ingots can now be turned into new aluminum products.,,,
recycling,Describe the process of recycling an aluminum can,158,Put the aluminum can into a recycle bin.,The cans are transported to a facility.,The cans are shredded by a machine.,The cans are heated to 1400 degrees to melt them.,The molten metal is poured into molds.,The molds are flattened and rolled into sheets to reuse.,,,,
recycling,Describe the process of recycling an aluminum can,159,Aluminium cans are put into a recycling bin.,Aluminium cans are then collected and taken to a treatment plant.,At the treatment plant the aluminium is sorted and cleaned.,Readied for reprocessing.,The aluminum cans go through a re-melt process.,Turned into molten aluminium.,The molten aluminum is made into large blocks called ingots.,The ingots are sent to mills and are rolled out into thin sheets.,The rolls are ready to be made into new aluminum products.,
stomach,How does the stomach work?,165,Food leaves the esophagus and enters the stomach.,The stomach churns the food.,With the aid of stomach acids.,The food becomes a thick liquid.,Is then passed to the small intestine.,,,,,
mold,How does mold grow on bread?,186,Bread is exposed to the elements.,Bread absorbs water from the air.,Bread absorbs warmth from the air.,Dust particles with mold spores fall on bread.,Mold spores start to consume the bread for energy.,Mold colonies grow until they are visible.,,,,
muscles,How do muscles work?,206,Muscles work by expanding and contracting.,A muscle fiber gets a signal from its nerve.,Proteins and chemicals release energy to either contract the muscle or relax it.,When the muscles contracts the bones connected to he muscle are pulled closer together.,When the muscle relaxes the bones move farther apart.,,,,,
muscles,How do muscles work?,207,Electrical signals in the brain travel through nerves to muscles.,Two types of proteins exist in filaments in the muscles.,The filaments move when the brain instructs them to.,The motion of the filaments cause the muscle to shorten and contract.,Opposing pairs of muscles exist in order to provide the necessary range of motion.,,,,,
rain,How does rain occur?,211,Water droplets in clouds collide.,Become bigger drops.,Ice particles also grow in clouds.,Drops and ice particles get heavier.,Drops fall to the ground.,Ice particles fall from the clouds.,Ice particles fall through warmer air and melt.,Ice reaches the ground as rain drops.,,
rain,How does rain occur?,212,Water evaporates because of the sun.,Water vapor rises into the air as it evaporates.,Water vapor forms clouds as it mixes with dust and impurities.,Clouds become heavier and larger over time.,Clouds eventually become too heavy to stay in the sky.,Some water vapor exits clouds as rain.,,,,
seed dispersal,How do animals help plants disburse seeds?,214,Animals pull a fruit off a plant or pick a fruit up from the ground.,Animals eat the fruit.,Animals drop some seeds onto the ground.,Animals eat some seeds.,The seeds are in the animal's waste.,The waste goes onto the ground.,There are seeds on the ground in different areas away from the plant.,,,
cloud,How are clouds formed?,221,Warm air rises.,Then it expandes and cools.,Some of the vapor condenses onto tiny pieces of dust that are floating in the air.,Forms a tiny droplet around each dust particle.,Billions of these droplets come together they become a visible cloud.,,,,,
cloud,How are clouds formed?,222,Air rises.,Rising air cools.,Water vapor forms.,Water vapor condenses.,Clouds form.,,,,,
sewing machine,How does a battery-operated sewing machine work?,225,Electricity from the battery makes the machine needle move.,A needle with thread goes down from the machine.,Goes through a piece of cloth.,A hook rotates underneath.,The hook captures the thread.,The hook loops the thread around another thread.,Two threads interlock around the fabric.,,,
dam,How do dams help stop flooding?,229,A dam is built in an area prone to flooding.,A large amount of rain occurs.,The water builds up behind the dam.,The dam opens its floodgates when it starts to get full.,The water flows into a river below the dam.,The dam closes its gates.,The dam will occasionally open its gates again to gradually release more water.,Eventually all of the floodwater will be slowly released into the river without causing any flood damage.,,
echolocation,How does echolocation work?,232,Bats and other animals produce a high-pitched tone.,"The sound travels in waves, as sound does.","The sound ""bounces"" off of a nearby object.",The sound wave returns to the bat.,The bat hears the echoed sound.,"Folds in the bat's ear and adaptations in the bat's brain enable it to determine the size, shape, and position of the other object via the properties of the returned sound waves.",Other animals use echolocation in generally similar ways.,,,
weathering; chemical,What happens during chemical weathering?,249,Chemical reactions break down the bonds holding the rocks together.,The rocks fall apart.,They form smaller and smaller pieces.,Oxidation takes place when oxygen combines with other elements in rocks.,They form new types of rocks.,The new substance is softer.,Carbonation takes place when carbon dioxide reactions with certain types of rocks.,A solution is formed that can easily be carried away by water.,,
tree rings,How do rings form inside the trunk of a tree?,251,The growing season starts.,Bark grows on a tree.,The inside of the tree grows.,The bark is pushed out around the tree trunk.,The bark leaves a ring.,The growing season slows down and ends.,,,,
tree rings,How do rings form inside the trunk of a tree?,252,The inner portion of the ring is formed during rapid spring growth.,The tree's growth slows as the seasons change.,The ring's outer growth is more dense.,The growth of the tree pushes out the bark of the tree.,The tree stops growing quickly in the winter.,"This seasonal ""pause"" in growth results in distinct rings in certain tree types.",,,,
seed dispersal,How do plants use animals to help disburse their seeds?,253,"Plants make the seeds smell good, be attractive looking, and taste good.",Animals are attracted to the seeds on the plants.,The animals eat the seeds.,The animals go far away from the plants.,The animals defecate the seeds or drop them off their fur.,The seeds grow in the new place.,,,,
seed dispersal,How do plants use animals to help disburse their seeds?,254,Plants produce seedlings.,The animal passes by the plant.,Eats from the plant or brushes the plant with the animal's fur.,The seeds are eaten by the animal or become attached to the fur.,The seed is digested by the animal and excreted into a new area.,The seeds attached to the animal's fur fall off into a new area.,,,,
breathing,Describe the process of breathing.,256,You breathe in through your nose or mouth.,The air travels through your windpipe.,Into your lungs.,Inside your lungs are tiny air sacs.,The air sacs transfer the oxygen into your blood.,The oxygen travels through your blood stream.,The carbon dioxide from your blood stream is transferred to your air sacs.,You breathe out and expel the carbon dioxide from your lungs.,,
breathing,Describe the process of breathing.,257,You inhale air through your nose and mouth.,The air travels down into your lungs.,Oxygen from the air goes into your bloodstream.,Oxygen circulates throughout the body due to the heart's pumping.,Carbon dioxide travels from the blood into the lungs.,Carbon dioxide travels from the lungs up the windpipe.,Carbon dioxide is exhaled.,,,
recycling,How does recycling work?,263,People separate different materials to be recycled.,The recyclable materials go to a recycling center.,The recycling center further separates the materials.,Large equipment compacts the materials into bales.,The recyclable materials are shipped to other recycling centers.,The other recycling centers further process the materials that center specializes in.,The materials are purchased by manufacturers.,The manufacturers process the recycled materials the same way they would use new materials.,The recycled materials are incorporated into new products.,
recycling,How does recycling work?,264,Items are collected.,The items are sorted.,Trash is removed from everything else.,Goes to a landfill.,The items go into a baler machine for each kind of material.,They come out as bales.,The bales are shipped to manufacturers to use to make products.,,,
electric generator,How do electric generators work?,272,A fuel goes into the generator.,The generator converts mechanical energy into electrical energy.,A magnet moves near a wire.,A steady flow of electrons is created.,Electricity flows through a wire.,Electricity comes out of the generator.,,,,
electromagnet,How does an electromagnet work?,280,Wire is wrapped around a piece of metal.,Current is sent through the wire.,A magnetic field is produced by the current.,This magnetic field in the wire interacts with certain particles in the central metal part.,The piece of metal becomes magnetized.,The magnetism remains until the current is shut off.,,,,
ice cubes,How do you make ice cubes?,286,Put water in an ice cube tray.,Put the ice cube tray in the freezer.,Wait 5 to 6 hours.,Take the ice cube tray out of the freezer.,Bend the tray slightly to get the ice cubes out and into a drink.,,,,,
ice cubes,How do you make ice cubes?,287,Get the ice tray.,Remove any ice cubes currently in the tray.,Fill the tray with cold water.,Ensure the tray is evenly filled to an appropriate level.,Open the freezer.,Place the tray in the freezer.,Close the freezer door.,Wait.,,
pollution,Describe the process of pollution causing bad effects on the enviroinment.,290,Pollution enters natural water sources such as rivers and lakes.,The pollution negatively affects the water quality.,The pollution negatively affects the health of plants and animals.,"The plants and animals have shorter, less healthy lives.",The plants and animals do not reproduce very well.,The number of plants and animals decreases over time.,The quality of water gets worse and worse as there are no plants or animals to clean it.,Eventually there is nothing living in the water and it is unusable.,,
respiration,What happens during respiration?,293,Cells obtain glucose and oxygen.,The glucose and oxygen create carbon dioxide.,The cells release energy.,The cells don't have enough oxygen to repeat this.,The cells obtain more oxygen from the air.,The cells repeat this process.,,,,
respiration,What happens during respiration?,294,A person takes in oxygen through their nose or mouth.,The oxygen travels into the body.,Breaks down into glucose.,Carbon dioxide is produced by the glucose breakdown.,The carbon dioxide is exhaled out of the body through the nose or mouth.,,,,,
bacteria,Describe how bacteria can cause disease.,298,Someone is infected with bacteria.,That bacteria begins to grow and reproduce inside the cells.,The dividing bacteria begin to make toxins.,Those toxins damage your cells.,Disease symptoms may begin.,,,,,
bacteria,Describe how bacteria can cause disease.,300,Bacteria enter the body.,Bacteria start to divide and grow.,The uncontrolled growth takes away resources from other cells.,Other cells cannot function properly.,We feel unwell.,The growth and division of bacteria produce toxins.,Toxins harm the body.,The body tries to react to the toxins.,The body's natural defenses can sometimes cause us to feel unwell.,
skateboard,How do you use a skateboard?,301,Place your non dominate foot on the front of the skateboard.,Push off with your other foot on the ground.,Keep pushing with your dominate leg.,When comfortable put both feet on the skateboard.,Balance your body as you roll on the skateboard.,,,,,
heart,How does the heart work?,310,Blood enters the right side of your heart.,Blood travels to the lungs.,Carbon dioxide is removed from the blood.,Oxygen is added to your blood.,Blood returns to left side of your heart.,The blood travels through the body.,,,,
weathering,How does weathering cause rocks to break apart?,313,Particles in the environment interact with rocks.,The particles remove small pieces of the rock each time they touch the rocks.,"The particles continue to hit, brush against, or grow against the rocks.",The rock eventually is broken apart by this contact.,The pieces of the rock are now small rocks.,The rock pieces are worn away into smaller and smaller pieces by the same forces.,,,,
weathering,How does weathering cause rocks to break apart?,315,Plants start growing on or near the rocks.,The roots of the growing plants start to break up the rock.,The plant acids dissolve the rock.,The rock is broken down into smaller pieces.,Erosion begins.,,,,,
weathering,What happens during weathering?,316,Rain falls on wood.,The rain seeps into the wood surface.,It permeates the wood.,When rain evaporates it leaves the wood.,It takes the finish of the wood with it.,The wood begins to lose it's luster.,It begins to look bad.,It has pieces of paint missing from the rain.,It gets worse when it rains.,It eventually will have no paint left.
weathering,What happens during weathering?,317,Water seeps into rocks.,The water freezes and thaws.,Cracks form in the rocks.,Cracks also form when rocks heat up.,The rocks slowly break down.,,,,,
weathering,What happens during weathering?,318,A plant grows near or on a rock.,The plant roots begin to grow.,Break apart the rock.,The plant acids dissolve parts of the rock.,The rocks are broken into more and more pieces.,Erosion starts to occur.,,,,
plant crops,Describe the process of planting crops.,321,The planter must select a crop.,The soil is prepared properly for that specific crop.,Fertilizer is added to the soil.,Seeds are planted in the field.,Irrigation is set up to keep the crops properly watered.,The crops grow.,The crops are harvested.,,,
green plants,How do green plants get the energy they need?,330,Sunlight shines on plants.,Cells with chlorophyll in them capture the light energy.,Plants absorb carbon dioxide through their stoma.,Plants absorb water through their roots and other parts of themselves.,Plants absorb minerals through their roots.,Plants convert these inputs into sugars.,Sugars can be used as energy sources.,Oxygen and water are also produced.,Excess water and oxygen are released through stoma and other parts of the plant.,
echo,How do echoes occur?,349,Something happens to produce a sound.,The sound travels in waves.,The sound waves hit an object.,The object absorbs some of the sound waves.,Some of the sound waves bounce off of the object.,"The reflected sound waves can be heard, though they have slightly different properties than the original sound.",The sound continues to bounce off of things and produce echoes until it is totally absorbed or dissipated.,,,
acid rain,Describe how acid rain can affect the environment.,364,Acid rain flows through soil.,Chemicals from the acid rain kill plants and trees.,The acid rainwater flows into rivers and streams.,The chemicals kill fish.,The chemicals kill animals that drink the water.,Nitrogen builds up.,Nitrogen destroys fish and shellfish populations.,,,
acid rain,Describe how acid rain can affect the environment.,365,Acid rain makes waters acidic.,Causes them to absorb aluminum from soil.,"The water runs off from the soil into lakes, streams, etc.",Fish and their eggs die.,Frogs and plants die.,Insects and other wildlife die.,"The ecosystem is out of balance, causing further problems.",,,
acid rain,Describe how acid rain can affect the environment.,366,Acid rain enters the atmosphere and lands.,Makes water acidic.,Kills fish.,Kills the soils in trees.,Leaves are also harmed.,,,,,
water,How do plants obtain and use water?,367,Plants obtain water through the soil they are growing in.,The plants roots absorb the water from the soil.,Transport the water to the parts of the plant where the water is needed.,The plant uses the water as part of the photosynthesis process.,"The plant creates food, called glucose, for itself.",The plant uses water to circulate the glucose around the plant to deliver the glucose to where it's needed.,,,,
water,How do plants obtain and use water?,369,PLants have roots.,The roots grow out.,Roots have fibers that are attached to them.,They attract water.,They suck up water.,They absorb the water.,,,,
computer,Describe the energy transformations in a computer,375,Electricity enters the computer.,Some electricity becomes light.,Some light becomes heat when it hits something.,"Some electricity becomes motion in a hard drive, dvd drive or fan.",Motion energy also becomes heat.,,,,,
oxygen,Describe how oxygen reaches cells in the body,377,Air travels into the body.,Air reaches the lungs.,The lungs absorb the oxygen from the air.,The oxygen is transported by hemoglobin.,Red blood cells are made of hemoglobin.,Blood has a lot of red blood cells.,The heart moves the blood throughout the body.,Blood can bring the oxygen to different cells in the body.,,
virus,How does a virus infect an animal?,381,The virus finds an animal cell.,The virus attaches to the cell's surface.,The cell swallows the virus.,The virus' RNA is released into the cell.,The cell mistakenly reads the virus' RNA instead of its own.,The cell creates new viruses.,The animal cell releases the new viruses.,The new viruses can infect more cells.,,
virus,How does a virus cause disease?,382,Bacteria enters the body.,Bloodstream.,Cells in the body are attacked.,Cells are killed.,Different kinds of sickness are formed.,,,,,
virus,How does a virus cause disease?,384,Contact is made with a virus.,The virus enters the human or animal body.,The virus goes to the part of the body that contains its food.,The virus consumes part of the body or materials that the body uses.,The virus replicates and spreads.,The virus causes symptoms in the body as the immune system tries to expel the virus.,,,,
hydroelectric electricity,How is hydroelectric electricity generated?,388,Waters flows downwards thanks to gravity.,Enters the dam at high pressure.,The moving water spins the turbines in the power plant.,The turbines turn the generators.,"The generators spin, and produce electricity.",The water leaves the dam at the bottom.,,,,
hydroelectric electricity,How is hydroelectric electricity generated?,390,A reservoir is formed.,The collects water converting the water's from kinectic to potential.,The water is forced through a turbine under the reservoir.,The turbine spins and so does the generator connected to it.,The water's energy iis turned nto electrical energy.,The transformer converts electrical energy from the generator to a high voltage.,The national grid uses high voltages to transmit electricity through the power lines.,,,
coal-powered electricity,How does a coal-powered power station generate electricity?,391,Coal is crushed.,The coal is burned at high temperatures inside a boiler.,The heat generated converts water to steam.,The steam spins propeller blades in the turbine.,The spinning turbine rotates coils in the generator.,The rotating coils produce electricity.,The electricity can be sent through the power grid.,,,
coal-powered electricity,How does a coal-powered power station generate electricity?,392,The coal is pulverized to a very fine powder.,The coal powder is mixed with hot air and blown into the firebox of the boiler.,Water pumped through pipes inside the boiler is turned into steam by the heat.,The pressure of the steam pushing against a series of giant blades turns the turbine shaft.,Turbine shaft is connected to the shaft of the generator.,The magnets inside the generator spin within wire coils to produce electricity.,,,,
coal-powered electricity,How does a coal-powered power station generate electricity?,393,The coal is placed in a heater.,The coal is super heated.,The heat is connected to a boiler.,The boiler is full of water.,The heat turns the water into steam.,The steam turns a generator.,The generator produces the electricity.,,,
nuclear electricity,How does a nuclear-powered power station generate electricity?,394,Fuel produces heat.,Water is boiled to make steam.,Steam spins turbine.,Generator is turned.,Makes electricity.,Electricity transfers to transformers.,Produces the correct voltage.,,,
